state_id,label,betweenness,eigenvector,out_degree,commodity_code,commodity_name
1,AL,0.0,0.013954675807684908,0.0,00,Unknown
2,AK,0.036540240518038856,0.017444537529948727,0.01858080757881637,00,Unknown
4,AZ,0.0,0.013897866811628648,0.0,00,Unknown
5,AR,0.0,0.013897776328579966,1.0,00,Unknown
6,CA,0.0,0.060791337470704025,0.0,00,Unknown
8,CO,0.009250693802035153,0.017893673433731546,0.056592682017967036,00,Unknown
9,CT,0.0032377428307123037,0.01501578490148742,0.010350958974076624,00,Unknown
10,DE,0.001387604070305273,0.01389800092381556,0.06578456332209011,00,Unknown
11,DC,0.0,0.013897776328579966,0.015582898733861818,00,Unknown
12,FL,0.0,0.03375446618948516,0.0,00,Unknown
13,GA,0.0,0.014301424601270287,0.0,00,Unknown
15,HI,0.0,0.02273989470060486,0.0,00,Unknown
16,ID,0.0,0.013897776328579966,0.1589710455612237,00,Unknown
17,IL,0.0,0.014304509080906119,0.0,00,Unknown
18,IN,0.0,0.014121713753620185,0.0,00,Unknown
19,IA,0.0037002775208140612,0.01809679805205404,0.00032223859544093096,00,Unknown
20,KS,0.0009250693802035153,0.014006153552456786,0.05465917841397349,00,Unknown
21,KY,0.0,0.016346351025300344,0.0,00,Unknown
22,LA,0.0,0.02165554288780357,0.0,00,Unknown
23,ME,0.011100832562442185,0.015194614534203323,0.028035807636498638,00,Unknown
24,MD,0.004625346901017576,0.022903603023233868,0.0010576731505686145,00,Unknown
25,MA,0.0074005550416281225,0.02609796470267632,0.22588802634758415,00,Unknown
26,MI,0.0,0.024536202729922692,0.0,00,Unknown
27,MN,0.0,0.01703814364887238,0.0,00,Unknown
28,MS,0.001387604070305273,0.013898363409009778,0.0029379858360531245,00,Unknown
30,MT,0.050878815911193344,0.017401527876596264,0.020369488612174875,00,Unknown
31,NE,0.01942645698427382,0.013900390497664773,0.0007564734769173868,00,Unknown
32,NV,0.0,0.013897776328579966,0.012977078509271302,00,Unknown
33,NH,0.016188714153561518,0.014506258604027426,0.0026584028266050685,00,Unknown
34,NJ,0.0,0.023925398107654292,0.0,00,Unknown
35,NM,0.0,0.013897776328579966,0.07349619113421513,00,Unknown
36,NY,0.0,0.039379095035160246,0.0,00,Unknown
37,NC,0.0,0.014378279464359711,0.0,00,Unknown
38,ND,0.00786308973172988,0.0139050101077971,0.07168758237869842,00,Unknown
39,OH,0.0,0.015956794336268926,0.0,00,Unknown
41,OR,0.0,0.013897776328579966,0.010860219149411356,00,Unknown
42,PA,0.0,0.014801500011536621,0.0,00,Unknown
44,RI,0.002775208140610546,0.013897890016597116,0.06314412811506943,00,Unknown
45,SC,0.0,0.013967529456580929,0.0,00,Unknown
46,SD,0.008325624421831638,0.018010419383565898,0.07415775564201947,00,Unknown
47,TN,0.0,0.0632610683540682,0.0,00,Unknown
48,TX,0.0,0.050766058330178,0.0,00,Unknown
50,VT,0.0009250693802035153,0.01437562260775881,0.029156376205172464,00,Unknown
51,VA,0.0,0.03447697590411721,0.0,00,Unknown
53,WA,0.0,0.05392937886215707,0.0,00,Unknown
54,WV,0.0,0.013897776328579966,0.005853777516132967,00,Unknown
55,WI,0.0,0.016059922731552236,0.0,00,Unknown
56,WY,0.04671600370027752,0.013924823241878694,0.009060843852226906,00,Unknown
1,AL,0.052295918367346934,0.017017608016987356,0.4598835799559909,01,Agricultural Products
2,AK,0.0,0.010489951827887334,0.0,01,Agricultural Products
4,AZ,0.0,0.012854460597014937,0.017932867174324164,01,Agricultural Products
5,AR,0.0,0.01499033217267891,0.0,01,Agricultural Products
6,CA,0.16539115646258504,0.019321974131328593,0.15940758387725854,01,Agricultural Products
8,CO,0.0,0.04865522141000311,0.0,01,Agricultural Products
9,CT,0.0,0.010788712796789689,0.33814368800024713,01,Agricultural Products
10,DE,0.0,0.010190841981206667,0.0,01,Agricultural Products
11,DC,0.0,0.010311227642410933,0.0,01,Agricultural Products
12,FL,0.031462585034013606,0.01529521994873901,0.24679637310239927,01,Agricultural Products
13,GA,0.03018707482993197,0.02104420190623232,0.1958918660390976,01,Agricultural Products
15,HI,0.0,0.010110060093484913,0.0,01,Agricultural Products
16,ID,0.0,0.010957554441227467,0.0,01,Agricultural Products
17,IL,0.003401360544217687,0.025530498206136547,0.034898457751799006,01,Agricultural Products
18,IN,0.0,0.021709979482063498,0.0,01,Agricultural Products
19,IA,0.016156462585034014,0.01939873000353863,0.1759680012834399,01,Agricultural Products
20,KS,0.13732993197278912,0.057492790395154765,0.11978868203094974,01,Agricultural Products
21,KY,0.02423469387755102,0.013149056183578645,0.6739480887252332,01,Agricultural Products
22,LA,0.0,0.015834434186992884,0.0,01,Agricultural Products
23,ME,0.0008503401360544217,0.016341411956584687,0.16958673261922,01,Agricultural Products
24,MD,0.0,0.016764147477389236,0.0,01,Agricultural Products
25,MA,0.0,0.019891625865742082,0.0,01,Agricultural Products
26,MI,0.012329931972789115,0.02399257145330379,0.012296070403549688,01,Agricultural Products
27,MN,0.07015306122448979,0.018492498245644303,1.0,01,Agricultural Products
28,MS,0.027210884353741496,0.021352778200476794,0.0624186155431402,01,Agricultural Products
29,MO,0.0017006802721088435,0.012081752325705294,0.6408405851010344,01,Agricultural Products
30,MT,0.0,0.010514749655704135,0.0,01,Agricultural Products
31,NE,0.22916666666666666,0.03791767067146627,0.16920471722728286,01,Agricultural Products
32,NV,0.0,0.010112318033453535,0.0,01,Agricultural Products
33,NH,0.0,0.010669556624575775,0.0,01,Agricultural Products
34,NJ,0.0,0.03590590475839039,0.0,01,Agricultural Products
