state_id,label,betweenness,eigenvector,out_degree,threshold,threshold_label
1,AL,0.0,0.09204717433830024,0.2298952563707765,,full_network
2,AK,0.3183673469387755,0.00927410240131696,0.005831724528967613,,full_network
4,AZ,0.0,0.09721322781344408,0.1538631081535627,,full_network
5,AR,0.0,0.05469603445047363,0.11700488587067867,,full_network
6,CA,0.0,0.3090530005978242,1.0,,full_network
8,CO,0.0,0.06973388439891753,0.13567819179068194,,full_network
9,CT,0.0,0.0665992734204498,0.207222508530139,,full_network
10,DE,0.04,0.019866451165707278,0.06505790597555437,,full_network
11,DC,0.6061224489795919,0.011181651213896507,0.0017958929337693903,,full_network
12,FL,0.0,0.26373204198712136,0.25701676474315344,,full_network
13,GA,0.0,0.19768160288906217,0.47004133515871643,,full_network
15,HI,0.5481632653061225,0.016752091827689726,0.001535209179940749,,full_network
16,ID,0.0,0.018992572911788474,0.04648825249139613,,full_network
17,IL,0.0,0.25229886673335905,0.7507888894522197,,full_network
18,IN,0.0,0.20074031760533695,0.48430390062285616,,full_network
19,IA,0.0,0.06472582122169099,0.23062754200357363,,full_network
20,KS,0.0,0.05933518485046268,0.184869013636784,,full_network
21,KY,0.0,0.1355012403825902,0.2909120781025324,,full_network
22,LA,0.0,0.11135573252033257,0.19216321598765404,,full_network
23,ME,0.0,0.018961304676306984,0.03403502975990281,,full_network
24,MD,0.0,0.10462219824557108,0.16485225829894112,,full_network
25,MA,0.0,0.09741708958714485,0.2766432327191579,,full_network
26,MI,0.0,0.21666473206396383,0.4558566135568795,,full_network
27,MN,0.0,0.08429420367626607,0.28274118873175497,,full_network
28,MS,0.0,0.07619750191366514,0.17392296691242834,,full_network
29,MO,0.0,0.1110909970150863,0.30970196434998154,,full_network
30,MT,0.0,0.02366112848428371,0.01709880707317392,,full_network
31,NE,0.0,0.031901423011090856,0.10442892698166666,,full_network
32,NV,0.0,0.06353689186732193,0.06448412711734502,,full_network
33,NH,0.0,0.027337378780144975,0.06334177834044728,,full_network
34,NJ,0.0,0.21191843075274464,0.5223311914253818,,full_network
35,NM,0.0,0.03163898884684121,0.023832569976516924,,full_network
36,NY,0.0,0.29022099777366855,0.5068281643643476,,full_network
37,NC,0.0,0.1501870284112057,0.4368960633706423,,full_network
38,ND,0.12571428571428572,0.025825325309424937,0.04230977700882245,,full_network
39,OH,0.0,0.26761009589803664,0.5921530629027361,,full_network
40,OK,0.0,0.0937102073610712,0.12138856475920222,,full_network
41,OR,0.0,0.0664023225964327,0.1448132176435102,,full_network
42,PA,0.0,0.24129781397161762,0.6793783048581873,,full_network
44,RI,0.0,0.01195011717474872,0.06022985971842391,,full_network
45,SC,0.0,0.1105915825070664,0.2318583423733594,,full_network
46,SD,0.060000000000000005,0.01189353131059099,0.03730354478887614,,full_network
47,TN,0.0,0.164832983626277,0.48105087262586493,,full_network
48,TX,0.0,0.37140960729615874,0.7519758172781741,,full_network
49,UT,0.0,0.06081479584510521,0.1324139153791466,,full_network
50,VT,0.04,0.011873863398900602,0.030172650564039526,,full_network
51,VA,0.0,0.1280900200859194,0.23722824993870875,,full_network
53,WA,0.0,0.1025267649752463,0.265489146499552,,full_network
54,WV,0.14816326530612245,0.03778372088634376,0.06253262408343803,,full_network
55,WI,0.0,0.1277586028237209,0.3406888721481507,,full_network
56,WY,0.10408163265306122,0.009351233356412336,0.019084050787658385,,full_network
1,AL,0.008979591836734694,0.09199503929599274,0.2281401884467084,170281326.15916443,threshold_1
2,AK,0.0020408163265306124,0.00819788452837058,0.005078219929404165,170281326.15916443,threshold_1
4,AZ,0.008979591836734694,0.09719596125526687,0.15233458111570808,170281326.15916443,threshold_1
5,AR,0.06285714285714286,0.05454160972176004,0.11556832898943367,170281326.15916443,threshold_1
6,CA,0.02,0.3091163358912527,1.0,170281326.15916443,threshold_1
8,CO,0.006122448979591837,0.06971806800315312,0.13474817166710168,170281326.15916443,threshold_1
9,CT,0.020408163265306124,0.06647689603914478,0.206332113176912,170281326.15916443,threshold_1
10,DE,0.012653061224489797,0.019560991755806636,0.062427063389834,170281326.15916443,threshold_1
11,DC,0.0020408163265306124,0.010655330195973723,0.0013857163924538417,170281326.15916443,threshold_1
12,FL,0.006122448979591837,0.26379446988848426,0.25611940101030384,170281326.15916443,threshold_1
13,GA,0.0,0.19771130555039565,0.46956196064166167,170281326.15916443,threshold_1
15,HI,0.012244897959183675,0.01611920895412861,0.0005290192515836595,170281326.15916443,threshold_1
16,ID,0.03428571428571429,0.018549418518742224,0.044961196467415435,170281326.15916443,threshold_1
17,IL,0.0,0.2523698075380243,0.7505199868953787,170281326.15916443,threshold_1
18,IN,0.02122448979591837,0.2007890506196662,0.48408600079294545,170281326.15916443,threshold_1
19,IA,0.0036734693877551023,0.0647004843352142,0.22985138234169689,170281326.15916443,threshold_1
20,KS,0.0012244897959183673,0.0592649236683885,0.18402841280985674,170281326.15916443,threshold_1
21,KY,0.0036734693877551023,0.1354914160329542,0.28980236738178033,170281326.15916443,threshold_1
22,LA,0.010612244897959184,0.11133081498505605,0.19122396837899955,170281326.15916443,threshold_1
23,ME,0.0236734693877551,0.01869048398931761,0.030926303992481724,170281326.15916443,threshold_1
24,MD,0.011428571428571429,0.10459587352222022,0.16398032526998246,170281326.15916443,threshold_1
25,MA,0.005714285714285714,0.09736828722479506,0.27579743313131955,170281326.15916443,threshold_1
26,MI,0.004489795918367347,0.21671576620933727,0.45535641672716143,170281326.15916443,threshold_1
27,MN,0.015918367346938776,0.08426812888928871,0.2821952564440397,170281326.15916443,threshold_1
28,MS,0.0163265306122449,0.07617792296496716,0.1726446159047002,170281326.15916443,threshold_1
29,MO,0.004081632653061225,0.11109883465835699,0.3091585289544069,170281326.15916443,threshold_1
30,MT,0.04693877551020408,0.023419315077159532,0.01380699096806582,170281326.15916443,threshold_1
31,NE,0.012653061224489797,0.03182582709861774,0.10385455897186652,170281326.15916443,threshold_1
32,NV,0.06285714285714286,0.06348791361272187,0.06224525823799963,170281326.15916443,threshold_1
33,NH,0.04285714285714286,0.0270816181267093,0.060913556693038426,170281326.15916443,threshold_1
34,NJ,0.004897959183673469,0.211956806348288,0.5223311914253818,170281326.15916443,threshold_1
35,NM,0.05469387755102041,0.03154284363754344,0.020381443330860963,170281326.15916443,threshold_1
36,NY,0.02,0.2902423952539831,0.5065576523875981,170281326.15916443,threshold_1
