state_id,label,betweenness,eigenvector,out_degree,rank_betweenness,rank_eigenvector,rank_out_degree,normalization
25,MA,0.11020408163265306,0.10798347481973472,0.9999999999999998,5,18,2,Row-Stochastic
26,MI,0.002857142857142857,0.1816487031973168,0.9999999999999998,37,10,2,Row-Stochastic
27,MN,0.044489795918367346,0.08973084309064237,0.9999999999999998,12,24,2,Row-Stochastic
28,MS,0.010612244897959184,0.07310180832150742,0.9999999999999997,27,28,40,Row-Stochastic
29,MO,0.01673469387755102,0.10661214617143577,0.9999999999999998,24,20,2,Row-Stochastic
30,MT,0.02,0.02913607431588984,0.9999999999999998,22,40,2,Row-Stochastic
31,NE,0.006122448979591837,0.0364871481222633,0.9999999999999998,33,36,2,Row-Stochastic
32,NV,0.0,0.04907147104760849,0.9999999999999998,42,35,2,Row-Stochastic
33,NH,0.022448979591836737,0.033961160153152405,0.9999999999999997,21,37,40,Row-Stochastic
34,NJ,0.008571428571428572,0.18466550180201766,0.9999999999999997,29,9,40,Row-Stochastic
35,NM,0.0016326530612244899,0.029152671457299037,0.9999999999999998,39,39,2,Row-Stochastic
36,NY,0.1620408163265306,0.2750115770509565,0.9999999999999997,3,3,40,Row-Stochastic
37,NC,0.026122448979591838,0.1565439651910142,0.9999999999999998,18,13,2,Row-Stochastic
38,ND,0.0036734693877551023,0.02710194020857936,0.9999999999999997,36,41,40,Row-Stochastic
39,OH,0.07306122448979592,0.23307655534931954,0.9999999999999998,8,7,2,Row-Stochastic
40,OK,0.043673469387755105,0.0774479633743212,0.9999999999999997,13,26,40,Row-Stochastic
41,OR,0.007346938775510205,0.07451997397246236,0.9999999999999998,31,27,2,Row-Stochastic
42,PA,0.08081632653061224,0.23443179471560183,0.9999999999999998,7,6,2,Row-Stochastic
44,RI,0.0,0.014398660879312877,0.9999999999999998,42,48,2,Row-Stochastic
45,SC,0.0016326530612244899,0.10575532101235517,0.9999999999999998,39,21,2,Row-Stochastic
46,SD,0.0008163265306122449,0.016545890321281037,0.9999999999999997,41,46,40,Row-Stochastic
47,TN,0.02653061224489796,0.17404843761095337,0.9999999999999998,17,11,2,Row-Stochastic
48,TX,0.16857142857142857,0.41022356434668755,0.9999999999999998,2,1,2,Row-Stochastic
49,UT,0.00816326530612245,0.06320816565926785,0.9999999999999998,30,32,2,Row-Stochastic
50,VT,0.0,0.01319321306101388,0.9999999999999998,42,50,2,Row-Stochastic
51,VA,0.03224489795918367,0.1371757887193396,0.9999999999999998,15,14,2,Row-Stochastic
53,WA,0.12408163265306123,0.12985527835790112,0.9999999999999998,4,15,2,Row-Stochastic
54,WV,0.0,0.03286022060606101,0.9999999999999998,42,38,2,Row-Stochastic
55,WI,0.050204081632653066,0.1113336067759871,0.9999999999999997,11,17,40,Row-Stochastic
56,WY,0.004489795918367347,0.0150755592888378,0.9999999999999998,35,47,2,Row-Stochastic
1,AL,0.0,0.14000835245717128,0.9080589107072043,5,28,24,Log Transform
2,AK,0.0,0.12612366140217235,0.6851554247592473,5,48,49,Log Transform
4,AZ,0.0,0.1425332599913455,0.8994587729133854,5,22,30,Log Transform
5,AR,0.0,0.13840684150596239,0.8902046784966401,5,33,34,Log Transform
6,CA,0.0020408163265306124,0.15486227869248123,1.0,2,2,1,Log Transform
8,CO,0.0,0.1431848846550752,0.9075207621591606,5,21,25,Log Transform
9,CT,0.0,0.13942988686450442,0.9046205542648317,5,30,27,Log Transform
10,DE,0.0,0.13040944887346725,0.8433529583710548,5,44,40,Log Transform
11,DC,0.0,0.12171844200479132,0.4695226222363284,5,51,51,Log Transform
12,FL,0.0,0.14989003430722145,0.9347834071244977,5,6,17,Log Transform
13,GA,0.0,0.14848421607019316,0.950294218104728,5,8,12,Log Transform
15,HI,0.0,0.12209293212665985,0.6845042092481731,5,50,50,Log Transform
16,ID,0.0,0.1316844435456076,0.8461038610955743,5,42,39,Log Transform
17,IL,0.0,0.1513306954097265,0.978470994991445,5,3,3,Log Transform
18,IN,0.0,0.14601978962225756,0.9538164708955449,5,13,9,Log Transform
19,IA,0.0,0.13905161491842247,0.9259566875805898,5,31,20,Log Transform
20,KS,0.0,0.13853464484744002,0.9137182485026767,5,32,23,Log Transform
21,KY,0.0,0.14216462109630457,0.9351621759729146,5,23,16,Log Transform
22,LA,0.0,0.1404515148259745,0.8960780507874303,5,27,31,Log Transform
23,ME,0.0,0.13243905978536588,0.8256121900090415,5,41,44,Log Transform
24,MD,0.0012244897959183673,0.14376867617640107,0.9012820114533784,3,19,28,Log Transform
25,MA,0.0,0.14433900892310683,0.933145685340061,5,18,18,Log Transform
26,MI,0.0,0.1475195708340537,0.9532170421997165,5,9,10,Log Transform
27,MN,0.0,0.1437515840523357,0.9407194380474381,5,20,14,Log Transform
28,MS,0.0,0.13803759535174287,0.9047506572192561,5,34,26,Log Transform
29,MO,0.0,0.14499470380393573,0.9403338090884035,5,16,15,Log Transform
30,MT,0.0,0.13322226916315472,0.7956295780131203,5,37,47,Log Transform
31,NE,0.0,0.13717458165222116,0.8923225983588183,5,35,32,Log Transform
32,NV,0.0,0.13552248045246065,0.8560876136220374,5,36,37,Log Transform
33,NH,0.0,0.13268964397611527,0.8669128148159447,5,39,36,Log Transform
34,NJ,0.0,0.14679443574476836,0.9557991733293201,5,10,8,Log Transform
35,NM,0.0,0.13148400305216623,0.7999060507385316,5,43,46,Log Transform
36,NY,0.0,0.1503317542163919,0.9632465473514688,5,4,6,Log Transform
37,NC,0.0,0.14646417495765154,0.9516354607036293,5,12,11,Log Transform
38,ND,0.0,0.13244077653862815,0.8243646147622684,5,40,45,Log Transform
39,OH,0.0,0.14926447005389779,0.9655606801735671,5,7,5,Log Transform
40,OK,0.0,0.13957125822663247,0.8882645890438461,5,29,35,Log Transform
41,OR,0.0,0.141042373586018,0.8904046741512958,5,25,33,Log Transform
42,PA,0.0,0.15032733360790942,0.9739521668210259,5,5,4,Log Transform
44,RI,0.0,0.1245738268555672,0.8504486618639527,5,49,38,Log Transform
45,SC,0.0,0.14134266939972087,0.9152821508150496,5,24,22,Log Transform
46,SD,0.0,0.1284909401056097,0.8353695044017847,5,45,42,Log Transform
47,TN,0.0,0.1465023452393679,0.957146077704195,5,11,7,Log Transform
48,TX,0.0,0.15522127604943828,0.9859946310387494,5,1,2,Log Transform
49,UT,0.0,0.14080479350761016,0.9001463510876186,5,26,29,Log Transform
50,VT,0.0,0.12720305241756152,0.8257075200408568,5,47,43,Log Transform
51,VA,0.0032653061224489797,0.1457743527456256,0.9243931989453849,1,14,21,Log Transform
53,WA,0.0008163265306122449,0.14574576961622182,0.9291991681507974,4,15,19,Log Transform
54,WV,0.0,0.13304712771344715,0.8367531160231372,5,38,41,Log Transform
55,WI,0.0,0.14493180363292488,0.942152329542507,5,17,13,Log Transform
56,WY,0.0,0.1276252891051475,0.7828265329223312,5,46,48,Log Transform
1,AL,0.002857142857142857,0.16247796134500445,0.5505095356059223,32,16,18,GDP-Geometric
2,AK,0.0,0.02691307103666135,0.030472720526673852,40,49,49,GDP-Geometric
4,AZ,0.0020408163265306124,0.07999607654306383,0.2709772399924285,35,33,37,GDP-Geometric
5,AR,0.0012244897959183673,0.12579733945536006,0.3915998760973468,37,24,28,GDP-Geometric
6,CA,0.15224489795918367,0.14481222075903397,0.7276459409108079,3,19,8,GDP-Geometric
8,CO,0.03306122448979592,0.07644879719313404,0.3143023513987925,22,38,31,GDP-Geometric
9,CT,0.037142857142857144,0.07668549468712957,0.4280367681072127,21,37,24,GDP-Geometric
10,DE,0.0,0.04991054433588922,0.23608331105258176,40,44,40,GDP-Geometric
11,DC,0.0,0.022043404737192046,0.005376238385125567,40,50,50,GDP-Geometric
12,FL,0.0,0.19527158847214346,0.2890388705145955,40,9,35,GDP-Geometric
