state_abbrev,state_name,gdp_2022_q4_millions
AK,Alaska,66052
AL,Alabama,297751
AR,Arkansas,173274
AZ,Arizona,505658
CA,California,3672569
CO,Colorado,512801
CT,Connecticut,331475
DC,District of Columbia,167295
DE,Delaware,100620
FL,Florida,1539973
GA,Georgia,814343
HI,Hawaii,107960
IA,Iowa,248491
ID,Idaho,117086
IL,Illinois,1066111
IN,Indiana,479219
KS,Kansas,219307
KY,Kentucky,271665
LA,Louisiana,310180
MA,Massachusetts,721551
MD,Maryland,494175
ME,Maine,89103
MI,Michigan,643503
MN,Minnesota,469616
MO,Missouri,409631
MS,Mississippi,146778
MT,Montana,70768
NC,North Carolina,756389
ND,North Dakota,76137
NE,Nebraska,172252
NH,New Hampshire,110097
NJ,New Jersey,776528
NM,New Mexico,132667
NV,Nevada,241081
NY,New York,2113398
OH,Ohio,851652
OK,Oklahoma,251998
OR,Oregon,303805
PA,Pennsylvania,944705
RI,Rhode Island,73283
SC,South Carolina,318105
SD,South Dakota,70602
TN,Tennessee,508498
TX,Texas,2539260
UT,Utah,270432
VA,Virginia,687307
VT,Vermont,42577
WA,Washington,766631
WI,Wisconsin,415103
WV,West Virginia,100531
WY,Wyoming,50015
