origin,destination,trade_value_usd
CA,KY,8460295781.112959
CA,LA,4481847498.632055
CA,ME,1146865669.4705896
CA,MD,8735724468.940899
CA,MA,10168068069.493927
CA,MI,16754029364.642685
CA,MN,9638862965.833431
CA,MS,6905682076.553591
CA,MO,10329563520.308853
CA,MT,3434409731.407851
CA,NE,2331258909.992921
CA,NV,31276142141.026905
CA,NH,2540362891.9664154
CA,NJ,20512225359.96171
CA,NM,3136598879.6372356
CA,NY,24813185322.947975
CA,NC,11844170159.228542
CA,ND,1494138456.8077202
CA,OH,32224013152.568672
CA,OK,6144499814.280881
CA,OR,23580379976.57371
CA,PA,21788349218.76222
CA,RI,728643875.3431425
CA,SC,5289801029.254108
CA,SD,712727726.4692793
CA,TN,13551609197.959002
CA,TX,69730496816.38536
CA,UT,17452254855.05356
CA,VT,525088057.6618767
CA,VA,11167889293.793306
CA,RoW,181643108890.51334
CA,WA,32918878000.67843
CA,WV,1477316726.9181004
CA,WI,8764912915.13557
CA,WY,1056667521.3376155
CO,AL,536310842.28426504
CO,AK,536929384.2474937
CO,AZ,1868014489.3837197
CO,AR,173190525.2027502
CO,CA,10689603803.803526
CO,CT,290130770.8591857
CO,DE,163053799.02584457
CO,DC,21358293.562854767
CO,FL,2386579967.3758187
CO,GA,1016037734.2562187
CO,HI,89167529.09287596
CO,ID,746841236.1696172
CO,IL,6041965362.473738
CO,IN,632875319.9339714
CO,IA,1254785786.2162106
CO,KS,3485070634.787029
CO,KY,952386394.3291702
CO,LA,484715303.127306
CO,ME,134635311.16304207
CO,MD,615395722.3209858
CO,MA,2415152539.786963
CO,MI,1505337491.053129
CO,MN,1621433348.5097566
CO,MS,258041806.10554427
CO,MO,2046050357.4771512
CO,MT,1853420059.2007146
CO,NE,3104926566.7892513
CO,NV,415653801.83514786
CO,NH,264570431.22444153
CO,NJ,1533021092.7826555
CO,NM,2472302161.218105
CO,NY,1888024578.8897526
CO,NC,849651073.3095431
CO,ND,457277004.4047928
CO,OH,1660480107.951354
CO,OK,1114151394.0770583
CO,OR,1441010080.3255854
CO,PA,1425787509.0054266
CO,RI,43893356.44609451
CO,SC,400880358.32000923
CO,SD,1021104504.9245892
CO,TN,1086097491.9264288
CO,TX,9009960527.252602
CO,UT,4925885179.490034
CO,VT,38282873.2233963
CO,VA,1120832987.6379354
CO,RoW,9725873918.815765
CO,WA,1858484973.3274474
CO,WV,77042720.37148046
CO,WI,915081103.4522629
CO,WY,3838552301.218992
CT,AL,413751432.4976425
CT,AK,43205111.23640251
CT,AZ,709857120.9931479
CT,AR,319586133.55007935
CT,CA,4704677466.128254
CT,CO,481281817.84872913
CT,DE,580916916.1083565
CT,DC,335216527.9819107
CT,FL,3550975984.410944
CT,GA,1642457271.9770975
CT,HI,170728508.77423668
CT,ID,298755517.71767044
CT,IL,3551304831.3315167
CT,IN,1400644705.9480515
CT,IA,328784002.46220016
CT,KS,518490636.98612785
CT,KY,1705624245.4268808
CT,LA,277765973.75017834
CT,ME,1625510395.5217247
CT,MD,987077902.6669121
CT,MA,19887188233.117447
CT,MI,1859651591.32685
CT,MN,1035687353.9775743
CT,MS,289359869.8971977
CT,MO,796320205.6170168
CT,MT,91701810.58824062
CT,NE,281137661.3708687
CT,NV,229749217.52641296
CT,NH,3123204217.3689404
CT,NJ,8419216979.952022
CT,NM,62153232.51341915
CT,NY,37695740904.28837
CT,NC,2203005405.6262436
CT,ND,89009010.99564934
CT,OH,2233368432.2897053
CT,OK,380545678.18911266
CT,OR,281443279.93302345
CT,PA,5015616393.399783
CT,RI,3784038457.3249993
CT,SC,864419017.8565807
CT,SD,109568330.5987072
CT,TN,5975558196.89771
CT,TX,3985728480.3504305
CT,UT,334769730.97899914
CT,VT,903355128.850913
CT,VA,1135883920.251727
CT,RoW,14638134663.346209
CT,WA,640989427.3310337
CT,WV,119581434.0284996
CT,WI,930183421.1082973
CT,WY,28038661.756443024
DC,AK,8171033.408691406
DC,AZ,134731.80541992188
DC,AR,513655.203125
DC,CA,32995198.822654724
DC,CO,10985724.358398438
DC,CT,1175463.2971801758
DC,DE,2364827.4302368164
DC,FL,4453040.518173218
DC,GA,25079838.480766296
DC,IL,10581711.09388733
DC,IN,2566713.811542511
DC,LA,1842756.2810058594
DC,ME,961146.6607666016
DC,MD,459668247.7558174
DC,MA,4458577.010620117
DC,MI,988538.7062988281
DC,MN,1992178.9584960938
DC,MS,1786401.505569458
DC,MO,11485847.727584839
DC,NE,1592965.6206054688
DC,NH,224480.0
DC,NJ,9041170.342391968
DC,NY,4280964.828098297
DC,NC,9004731.588043213
DC,OH,1440533.7584838867
DC,OK,2141676.061279297
DC,OR,1840026.9189453125
DC,PA,71736355.01870346
DC,SC,247321.2081298828
DC,TX,11740638.018920898
DC,UT,544436.0
DC,VA,385799945.04125404
DC,RoW,1547385282.4654994
DC,WA,9403623.992622375
DC,WV,1695660.0993022919
DC,WI,2789355.5
DE,AL,121747158.71449566
DE,AK,2648671.2163085938
DE,AZ,695389955.6833334
DE,AR,181556565.42881966
DE,CA,1543471672.6956005
DE,CO,358713963.6208191
DE,CT,426757564.9094827
DE,DC,34004467.570100784
DE,FL,819662807.1210136
DE,GA,829461351.5366802
DE,HI,1420063.019411087
DE,ID,15006380.998462677
DE,IL,825989558.846097
DE,IN,421367781.8555579
DE,IA,130286259.03383255
DE,KS,29644380.7467165
DE,KY,384505528.8936758
DE,LA,202489930.23342896
DE,ME,100254389.85834885
DE,MD,3970841009.6032777
DE,MA,1569549514.6279135
DE,MI,369512415.41740847
DE,MN,122775276.66410637
DE,MS,25165177.030994415
DE,MO,470716479.20582485
DE,MT,69542303.24323559
DE,NE,22341933.81321335
DE,NV,81161851.64904785
DE,NH,101176410.41331291
DE,NJ,4353794415.255283
DE,NM,18406164.974858284
DE,NY,3299953638.629763
DE,NC,415841163.68665934
DE,ND,43384645.058568
DE,OH,4438566060.092073
DE,OK,31963035.987193584
DE,OR,146579656.01974916
DE,PA,8751189815.153183
DE,RI,81426310.23641777
DE,SC,204910658.90776253
DE,SD,87661222.59004784
DE,TN,703851062.1035514
DE,TX,1271315918.8240905
DE,UT,247981665.68794632
DE,VT,50440638.03303623
DE,VA,1085973659.5912976
DE,RoW,5298474985.437139
DE,WA,157102592.62077665
DE,WV,122930347.05560493
DE,WI,245307343.4659562
DE,WY,8088644.259311676
FL,AL,7108468565.316892
FL,AK,270621280.857172
FL,AZ,2426407070.177207
FL,AR,1880476606.3538065
FL,CA,11764391543.695599
FL,CO,1238299233.134448
FL,CT,1816045541.2233143
FL,DE,478341570.2389412
FL,DC,638194257.3315849
FL,GA,18505655981.21466
FL,HI,220270091.12008667
FL,ID,331475472.9473028
FL,IL,6154516148.085041
FL,IN,3136570979.3544135
